Czas / s	Napiêcie / V
0	3,900
132	3,868
264	3,863
396	3,857
527	3,852
659	3,847
791	3,842
923	3,836
1055	3,831
1187	3,826
1318	3,821
1450	3,815
1582	3,810
1714	3,805
1846	3,800
1978	3,794
2109	3,789
2241	3,784
2373	3,779
2505	3,773
2637	3,768
2769	3,763
2901	3,758
3032	3,752
3164	3,747
3296	3,742
3428	3,737
3560	3,731
3692	3,726
3823	3,721
3955	3,716
4087	3,710
4219	3,705
4351	3,700
4483	3,695
4614	3,689
4746	3,684
4878	3,679
5010	3,674
5142	3,668
5274	3,663
5406	3,658
5537	3,653
5669	3,647
5801	3,642
5933	3,637
6065	3,632
6197	3,626
6328	3,621
6460	3,616
6592	3,611
6724	3,605
6856	3,600
6988	3,595
7120	3,589
7251	3,584
7383	3,579
7515	3,574
7647	3,568
7779	3,563
7911	3,558
8042	3,553
8174	3,547
8306	3,542
8438	3,537
8570	3,532
8702	3,526
8833	3,521
8965	3,516
9097	3,511
9229	3,505
9361	3,500
9493	3,495
9625	3,490
9756	3,484
9888	3,479
10020	3,474
10152	3,469
10284	3,463
10416	3,458
10547	3,453
10679	3,448
10811	3,442
10943	3,437
11075	3,432
11207	3,427
11338	3,421
11470	3,416
11602	3,411
11734	3,406
11866	3,400
11998	3,395
12130	3,390
12261	3,385
12393	3,379
12525	3,374
12657	3,369
12789	3,364
12921	3,358
13052	3,353
13184	3,348
13316	3,343
13448	3,337
13580	3,332
13712	3,327
13843	3,322
13975	3,316
14107	3,311
14239	3,306
14371	3,301
14503	3,295
14635	3,290
14766	3,285
14898	3,280
15030	3,274
15162	3,269
15294	3,264
15426	3,259
15557	3,253
15689	3,248
15821	3,243
15953	3,237
16085	3,232
16217	3,227
16348	3,222
16480	3,217
16612	3,213
16744	3,208
16876	3,204
17008	3,200
17140	3,196
17271	3,192
17403	3,188
17535	3,184
17667	3,181
17799	3,178
17931	3,175
18062	3,171
18194	3,168
18326	3,165
18458	3,162
18590	3,159
18722	3,156
18854	3,153
18985	3,150
19117	3,147
19249	3,144
19381	3,141
19513	3,138
19645	3,135
19776	3,132
19908	3,129
20040	3,126
20172	3,122
20304	3,119
20436	3,116
20567	3,113
20699	3,110
20831	3,106
20963	3,103
21095	3,100
21227	3,096
21359	3,092
21490	3,089
21622	3,086
21754	3,082
21886	3,079
22018	3,075
22150	3,071
22281	3,067
22413	3,064
22545	3,060
22677	3,056
22809	3,052
22941	3,048
23072	3,044
23204	3,040
23336	3,036
23468	3,032
23600	3,028
23732	3,023
23864	3,020
23995	3,015
24127	3,011
24259	3,007
24391	3,003
24523	2,999
24655	2,995
24786	2,990
24918	2,986
25050	2,982
25182	2,977
25314	2,974
25446	2,969
25577	2,965
25709	2,961
25841	2,957
25973	2,953
26105	2,948
26237	2,944
26369	2,941
26500	2,936
26632	2,932
26764	2,928
26896	2,924
27028	2,919
27160	2,915
27291	2,911
27423	2,907
27555	2,902
27687	2,898
27819	2,894
27951	2,889
28082	2,885
28214	2,881
28346	2,877
28478	2,872
28610	2,868
28742	2,864
28874	2,859
29005	2,855
29137	2,851
29269	2,847
29401	2,842
29533	2,838
29665	2,834
29796	2,829
29928	2,825
30060	2,820
30192	2,816
30324	2,812
30456	2,808
30588	2,804
30719	2,799
30851	2,795
30983	2,791
31115	2,786
31247	2,782
31379	2,778
31510	2,774
31642	2,770
31774	2,766
31906	2,762
32038	2,758
32170	2,754
32301	2,750
32433	2,745
32565	2,741
32697	2,737
32829	2,733
32961	2,729
33093	2,726
33224	2,722
33356	2,717
33488	2,714
33620	2,710
33752	2,706
33884	2,702
34015	2,699
34147	2,695
34279	2,691
34411	2,687
34543	2,684
34675	2,680
34806	2,676
34938	2,673
35070	2,669
35202	2,665
35334	2,662
35466	2,659
35598	2,655
35729	2,651
35861	2,648
35993	2,645
36125	2,641
36257	2,638
36389	2,635
36520	2,632
36652	2,628
36784	2,625
36916	2,622
37048	2,619
37180	2,615
37311	2,613
37443	2,609
37575	2,606
37707	2,603
37839	2,600
37971	2,598
38103	2,594
38234	2,592
38366	2,589
38498	2,586
38630	2,583
38762	2,580
38894	2,578
39025	2,575
39157	2,572
39289	2,570
39421	2,568
39553	2,565
39685	2,562
39816	2,560
39948	2,558
40080	2,555
40212	2,552
40344	2,550
40476	2,548
40608	2,546
40739	2,543
40871	2,541
41003	2,539
41135	2,537
41267	2,534
41399	2,532
41530	2,530
41662	2,528
41794	2,526
41926	2,524
42058	2,522
42190	2,520
42322	2,519
42453	2,517
42585	2,515
42717	2,513
42849	2,511
42981	2,509
43113	2,508
43244	2,506
43376	2,504
43508	2,502
43640	2,501
43772	2,499
43904	2,497
44035	2,496
44167	2,494
44299	2,493
44431	2,491
44563	2,489
44695	2,488
44827	2,486
44958	2,485
45090	2,483
45222	2,482
45354	2,480
45486	2,479
45618	2,477
45749	2,476
45881	2,475
46013	2,473
46145	2,472
46277	2,471
46409	2,469
46540	2,467
46672	2,467
46804	2,465
46936	2,463
47068	2,462
47200	2,461
47332	2,460
47463	2,458
47595	2,457
47727	2,456
47859	2,455
47991	2,453
48123	2,452
48254	2,450
48386	2,450
48518	2,449
48650	2,447
48782	2,446
48914	2,445
49045	2,444
49177	2,442
49309	2,441
49441	2,440
49573	2,439
49705	2,438
49837	2,437
49968	2,436
50100	2,435
50232	2,433
50364	2,433
50496	2,431
50628	2,430
50759	2,429
50891	2,428
51023	2,427
51155	2,426
51287	2,425
51419	2,424
51551	2,423
51682	2,422
51814	2,421
51946	2,420
52078	2,419
52210	2,418
52342	2,417
52473	2,415
52605	2,415
52737	2,413
52869	2,412
53001	2,412
53133	2,410
53264	2,409
53396	2,408
53528	2,408
53660	2,406
53792	2,405
53924	2,404
54056	2,404
54187	2,403
54319	2,402
54451	2,400
54583	2,400
54715	2,398
54847	2,398
54978	2,397
55110	2,395
55242	2,395
55374	2,394
55506	2,393
55638	2,392
55769	2,391
55901	2,390
56033	2,389
56165	2,388
56297	2,388
56429	2,387
56561	2,386
56692	2,385
56824	2,384
56956	2,383
57088	2,382
57220	2,381
57352	2,380
57483	2,380
57615	2,378
57747	2,378
57879	2,377
58011	2,376
58143	2,375
58274	2,374
58406	2,373
58538	2,373
58670	2,371
58802	2,371
58934	2,370
59066	2,369
59197	2,369
59329	2,368
59461	2,367
59593	2,366
59725	2,365
59857	2,364
59988	2,363
60120	2,362
60252	2,362
60384	2,361
60516	2,360
60648	2,359
60779	2,358
60911	2,358
61043	2,357
61175	2,356
61307	2,355
61439	2,354
61571	2,354
61702	2,353
61834	2,352
61966	2,351
62098	2,351
62230	2,350
62362	2,349
62493	2,348
62625	2,348
62757	2,347
62889	2,345
63021	2,345
63153	2,344
63285	2,344
63416	2,343
63548	2,342
63680	2,341
63812	2,341
63944	2,340
64076	2,339
64207	2,338
64339	2,338
64471	2,337
64603	2,336
64735	2,336
64867	2,335
64998	2,334
65130	2,333
65262	2,332
65394	2,332
65526	2,331
65658	2,330
65790	2,329
65921	2,329
66053	2,328
66185	2,327
66317	2,327
66449	2,326
66581	2,325
66712	2,325
66844	2,324
66976	2,323
67108	2,323
67240	2,322
67372	2,321
67503	2,321
67635	2,320
67767	2,319
67899	2,318
68031	2,318
68163	2,317
68295	2,316
68426	2,316
68558	2,315
68690	2,315
68822	2,314
68954	2,313
69086	2,313
69217	2,312
69349	2,311
69481	2,311
69613	2,310
69745	2,309
69877	2,309
70008	2,308
70140	2,307
70272	2,306
70404	2,306
70536	2,306
70668	2,305
70800	2,304
70931	2,303
71063	2,303
71195	2,302
71327	2,302
71459	2,302
71591	2,301
71722	2,300
71854	2,299
71986	2,299
72118	2,298
72250	2,298
72382	2,297
72513	2,296
72645	2,296
72777	2,295
72909	2,294
73041	2,294
73173	2,294
73305	2,293
73436	2,292
73568	2,291
73700	2,291
73832	2,290
73964	2,290
74096	2,289
74227	2,289
74359	2,288
74491	2,288
74623	2,287
74755	2,286
74887	2,286
75019	2,285
75150	2,285
75282	2,284
75414	2,283
75546	2,283
75678	2,282
75810	2,282
75941	2,281
76073	2,281
76205	2,280
76337	2,280
76469	2,279
76601	2,279
76732	2,278
76864	2,277
76996	2,277
77128	2,276
77260	2,276
77392	2,275
77524	2,275
77655	2,274
77787	2,274
77919	2,273
78051	2,273
78183	2,272
78315	2,272
78446	2,271
78578	2,270
78710	2,270
78842	2,269
78974	2,269
79106	2,268
79237	2,268
79369	2,267
79501	2,267
79633	2,266
79765	2,265
79897	2,265
80029	2,264
80160	2,264
80292	2,263
80424	2,262
80556	2,262
80688	2,262
80820	2,261
80951	2,260
81083	2,260
81215	2,260
81347	2,259
81479	2,258
81611	2,258
81742	2,257
81874	2,257
82006	2,256
82138	2,255
82270	2,255
82402	2,255
82534	2,254
82665	2,253
82797	2,252
82929	2,252
83061	2,251
83193	2,251
83325	2,250
83456	2,250
83588	2,249
83720	2,248
83852	2,248
83984	2,247
84116	2,247
84247	2,246
84379	2,245
84511	2,245
84643	2,244
84775	2,243
84907	2,243
85039	2,242
85170	2,242
85302	2,241
85434	2,240
85566	2,240
85698	2,239
85830	2,239
85961	2,238
86093	2,237
86225	2,236
86357	2,236
86489	2,235
86621	2,235
86753	2,234
86884	2,233
87016	2,232
87148	2,232
87280	2,231
87412	2,230
87544	2,230
87675	2,229
87807	2,228
87939	2,228
88071	2,227
88203	2,226
88335	2,226
88466	2,225
88598	2,224
88730	2,223
88862	2,223
88994	2,222
89126	2,221
89258	2,220
89389	2,220
89521	2,219
89653	2,218
89785	2,218
89917	2,217
90049	2,216
90180	2,215
90312	2,214
90444	2,214
90576	2,213
90708	2,212
90840	2,211
90971	2,210
91103	2,210
91235	2,209
91367	2,208
91499	2,207
91631	2,206
91763	2,205
91894	2,205
92026	2,204
92158	2,203
92290	2,202
92422	2,201
92554	2,201
92685	2,200
92817	2,199
92949	2,198
93081	2,197
93213	2,197
93345	2,196
93476	2,195
93608	2,194
93740	2,193
93872	2,192
94004	2,192
94136	2,191
94268	2,190
94399	2,189
94531	2,188
94663	2,188
94795	2,187
94927	2,186
95059	2,185
95190	2,184
95322	2,184
95454	2,183
95586	2,182
95718	2,181
95850	2,180
95981	2,180
96113	2,179
96245	2,178
96377	2,177
96509	2,176
96641	2,176
96773	2,175
96904	2,173
97036	2,173
97168	2,172
97300	2,171
97432	2,170
97564	2,169
97695	2,168
97827	2,168
97959	2,167
98091	2,166
98223	2,165
98355	2,164
98487	2,163
98618	2,162
98750	2,161
98882	2,160
99014	2,159
99146	2,158
99278	2,158
99409	2,157
99541	2,155
99673	2,155
99805	2,154
99937	2,153
100069	2,152
100200	2,151
100332	2,150
100464	2,149
100596	2,148
100728	2,147
100860	2,146
100992	2,145
101123	2,144
101255	2,143
101387	2,142
101519	2,140
101651	2,139
101783	2,138
101914	2,138
102046	2,136
102178	2,135
102310	2,134
102442	2,133
102574	2,132
102705	2,131
102837	2,130
102969	2,128
103101	2,128
103233	2,126
103365	2,125
103497	2,124
103628	2,123
103760	2,122
103892	2,121
104024	2,120
104156	2,118
104288	2,117
104419	2,116
104551	2,115
104683	2,114
104815	2,112
104947	2,111
105079	2,110
105210	2,109
105342	2,108
105474	2,106
105606	2,105
105738	2,104
105870	2,102
106002	2,101
106133	2,100
106265	2,099
106397	2,098
106529	2,096
106661	2,095
106793	2,094
106924	2,093
107056	2,091
107188	2,090
107320	2,088
107452	2,088
107584	2,086
107715	2,085
107847	2,083
107979	2,082
108111	2,081
108243	2,080
108375	2,079
108507	2,077
108638	2,076
108770	2,074
108902	2,073
109034	2,072
109166	2,071
109298	2,069
109429	2,068
109561	2,067
109693	2,066
109825	2,064
109957	2,063
110089	2,062
110221	2,060
110352	2,059
110484	2,058
110616	2,057
110748	2,055
110880	2,054
111012	2,053
111143	2,052
111275	2,050
111407	2,049
111539	2,048
111671	2,046
111803	2,045
111934	2,044
112066	2,043
112198	2,042
112330	2,041
112462	2,039
112594	2,038
112726	2,037
112857	2,036
112989	2,034
113121	2,033
113253	2,032
113385	2,031
113517	2,030
113648	2,028
113780	2,027
113912	2,026
114044	2,025
114176	2,024
114308	2,023
114439	2,022
114571	2,020
114703	2,019
114835	2,018
114967	2,017
115099	2,016
115231	2,015
115362	2,014
115494	2,013
115626	2,012
115758	2,011
115890	2,010
116022	2,009
116153	2,008
116285	2,007
116417	2,006
116549	2,005
116681	2,004
116813	2,003
116944	2,002
117076	2,001
117208	2,000
117340	1,999
117472	1,998
117604	1,998
117736	1,997
117867	1,995
117999	1,995
118131	1,994
118263	1,993
118395	1,992
118527	1,991
118658	1,990
118790	1,990
118922	1,989
119054	1,988
119186	1,987
119318	1,986
119449	1,986
119581	1,985
119713	1,984
119845	1,983
119977	1,982
120109	1,982
120241	1,981
120372	1,980
120504	1,980
120636	1,978
120768	1,978
120900	1,977
121032	1,977
121163	1,975
121295	1,975
121427	1,974
121559	1,973
121691	1,973
121823	1,972
121955	1,972
122086	1,971
122218	1,970
122350	1,969
122482	1,969
122614	1,968
122746	1,967
122877	1,967
123009	1,966
123141	1,965
123273	1,965
123405	1,964
123537	1,963
123668	1,962
123800	1,962
123932	1,961
124064	1,960
124196	1,960
124328	1,959
124460	1,959
124591	1,958
124723	1,957
124855	1,956
124987	1,956
125119	1,955
125251	1,955
125382	1,954
125514	1,953
125646	1,953
125778	1,952
125910	1,951
126042	1,950
126173	1,950
126305	1,949
126437	1,948
126569	1,948
126701	1,947
126833	1,946
126965	1,946
127096	1,945
127228	1,945
127360	1,944
127492	1,943
127624	1,943
127756	1,942
127887	1,941
128019	1,940
128151	1,939
128283	1,939
128415	1,939
128547	1,938
128678	1,937
128810	1,936
128942	1,936
129074	1,935
129206	1,934
129338	1,933
129470	1,933
129601	1,932
129733	1,931
129865	1,931
129997	1,930
130129	1,929
130261	1,928
130392	1,928
130524	1,927
130656	1,926
130788	1,926
130920	1,925
131052	1,924
131184	1,923
131315	1,922
131447	1,922
131579	1,921
131711	1,920
131843	1,920
131975	1,919
132106	1,918
132238	1,918
132370	1,917
132502	1,916
132634	1,915
132766	1,914
132897	1,914
133029	1,913
133161	1,912
133293	1,911
133425	1,910
133557	1,910
133689	1,909
133820	1,908
133952	1,907
134084	1,906
134216	1,906
134348	1,905
134480	1,904
134611	1,903
134743	1,902
134875	1,901
135007	1,901
135139	1,900
135271	1,899
135402	1,898
135534	1,897
135666	1,897
135798	1,896
135930	1,895
136062	1,894
136194	1,893
136325	1,892
136457	1,892
136589	1,890
136721	1,889
136853	1,889
136985	1,888
137116	1,887
137248	1,886
137380	1,885
137512	1,884
137644	1,883
137776	1,883
137907	1,881
138039	1,881
138171	1,880
138303	1,879
138435	1,878
138567	1,877
138699	1,876
138830	1,875
138962	1,874
139094	1,873
139226	1,872
139358	1,871
139490	1,870
139621	1,869
139753	1,868
139885	1,867
140017	1,866
140149	1,865
140281	1,865
140412	1,863
140544	1,862
140676	1,861
140808	1,860
140940	1,859
141072	1,858
141204	1,857
141335	1,856
141467	1,855
141599	1,854
141731	1,853
141863	1,851
141995	1,851
142126	1,849
142258	1,848
142390	1,847
142522	1,846
142654	1,845
142786	1,844
142918	1,843
143049	1,842
143181	1,841
143313	1,839
143445	1,838
143577	1,837
143709	1,836
143840	1,835
143972	1,834
144104	1,832
144236	1,831
144368	1,830
144500	1,829
144631	1,827
144763	1,826
144895	1,825
145027	1,824
145159	1,822
145291	1,821
145423	1,820
145554	1,819
145686	1,817
145818	1,817
145950	1,815
146082	1,814
146214	1,813
146345	1,811
146477	1,810
146609	1,808
146741	1,807
146873	1,806
147005	1,805
147136	1,803
147268	1,802
147400	1,801
147532	1,799
147664	1,798
147796	1,797
147928	1,796
148059	1,794
148191	1,792
148323	1,792
148455	1,790
148587	1,788
148719	1,787
148850	1,786
